question,answer
i'm having trouble completing online enrolment. what should i do?,please refer to the support page for details of supported enrolment.
i can't access enrolment as it is not open. what do i do?,"you should have been sent an email to your university address informing you of the enrolment opening date. if you believe you should be enrolling now, please contact student hub on +44 (0) 1786 466022 or email ask@stir.ac.uk"
i can't enrol as i have outstanding debt. what can i do?,you need to contact the student finance office as soon as possible on income.office@stir.ac.uk or +44 (0) 1786 467123.
worldpay is not accepting my card payment. what do i do?,"if you are having problems using worldpay, please contact +44 (0) 1786 467123 or income.office@stir.ac.uk, to arrange another method of payment."
do i still enrol if i am withdrawn or on leave of absence?,do not enrol - contact enrolment@stir.ac.uk
i want to change my mode of attendance or request a leave of absence,do not enrol - you will need to email studentprogrammes@stir.ac.uk from your university email account attaching any documentation to support your request.
what does conditionally enrolled mean?,"you will be conditional enrolled if you have completed online enrolment however there are further steps that need to be completed for you to become fully enrolled. when you completed online enrolment you would have been sent an email detailing why your enrolment status is conditional, please refer to this for more information."
when do i get my student loan?,"once you have successfully enrolled and the official start date of your programme has passed, your student loan should be paid into your bank account within 3 working days. if you have queries regarding this you will need to speak to the student loan company"
where can i get timetable information?,please refer to the timetable webpage for information on the timetable.
where do i get a letter to prove my enrolment?,once you have completed enrolment you will a pdf copy of your certificate of enrolment to your student email address within 24 hours. for more information on the certificate of enrolment please refer to the webpage on .
having problems logging on or need password reset?,please contact the information helpdesk on helpdesk@stir.ac.uk or +44 (0) 1786 467250.
