question,answer
how will compensation be applied in practice?,compensation will not be actioned by faculties. pc will be added to the student record by the student programmes team.
how does progression between semesters work?,progression decisions are made at the end of each academic year instead of every semester. student programmes will provide faculties with a list of students who have failed everything in the autumn semester. the faculty should contact these students to work out a program of study for the future. all other students will simply continue into the spring semester.
what are the changes in the honours admission criteria?,there is no longer a formal 'admission to honours' process. students are admitted to the university with the intention of completing an honours degree. progression from year to year depends on meeting the minimum credit requirements.
what are the options for a student with 60 credits by the end of year 1?,"in order to progress to the next year of study, a full-time student must have attained a minimum of 80 credits by the end of year 1. the student cannot progress to year 2 and may require part-time study or a repeat semester depending on their degree program."
what happens if a student wants to withdraw from a module after the deadline for changes?,"the student will be short of credit and will need to make up the credit by taking an additional module. if the module is compulsory, it may affect the student's ability to progress with their degree program. an 'x' grade will appear on their record."
what advice should i give to a student who wants to change their intended degree one week into their studies?,the student should speak to the adviser responsible for the degree program they wish to transfer into. the adviser should determine whether the change can be permitted and then email the student programmes team to request the change.
what should i do if a student wants to change a compulsory module which will change their intended degree?,"discuss the degree program requirements with the student to consider whether a variant program will be required. if so, contact the student programmes team who will seek approval from the academic panel."
who should i contact to discuss a variant program for a student?,contact the student programmes team to discuss this. they will seek approval from the academic panel.
what should a student do if they fail their option module and it's not being offered again next academic session?,the student will need to take a different option next year to make up their credit.
what does 4 assessment attempts (2 module registrations) mean?,students are permitted a maximum of 4 assessment attempts. a student who has not passed a compulsory module after exhausting their 4 attempts will need to change degree program.
is there any formal supervision required when resubmitting a dissertation or equivalent?,students should receive feedback and have one meeting with their supervisor (or an appropriate alternative if the supervisor is not available).
what is the composition of the education and student experience academic panel?,"the panel is chaired by dr. stephen langton, with one representative from each faculty. two members of the pool attend each meeting along with the chair."
when does the academic panel normally meet?,usually once a month.
can a student taking a module on an 'assessment only' basis attend seminars and lectures?,repeating by assessment only is no longer an option. students repeating a module must complete it in full.
who should i contact for further training as an adviser of studies?,contact the student programmes team.
what are the options for a student who wants to appeal their module mark?,there is no appeal against academic judgment.
can faculty teams meet with student programmes on a regular basis?,"yes, student programmes would be more than happy to meet with your team on a regular basis."
what decisions can't i make as an adviser of studies?,"as an adviser, you cannot waive the requirement for a compulsory module, approve an extension to a student's completion date, change a student's year of study, approve a variant degree program without discussion with student programmes, or authorize compensation. requests involving any of these should be passed to the student programmes team."
can i adjust a student's fees as an adviser?,"no, requests involving fees should be passed to the fees team."
