question,answer
what are the admissions principles of the university of stirling?,"the admissions principles of the university of stirling include: selection of students based on academic and personal merit, transparency, consistency, reliable and credible selection methods, reducing barriers to admission, and professionalism"
which body at the university of stirling is responsible for developing and monitoring the admissions policy?,"the admissions policy at the university of stirling is developed and monitored by admissions and access on behalf of the university, and it is approved by the academic council"
who is responsible for processing applications and notifying applicants of the admissions decision at the university of stirling?,"admissions and access are responsible for processing all applications and notifying applicants of the admissions decision at the university of stirling"
what is the procedure for applicants who wish to defer their offer of admission to the university of stirling?,"applicants who wish to defer their offer of admission to the university of stirling must apply to do so by contacting admissions and access. if permission is granted, deferral will only be granted for one academic year"
how does the university of stirling handle extenuating circumstances affecting an applicant's ability to study?,"the university of stirling considers extenuating circumstances that occur before or after an offer has been made, provided there is verifiable evidence of impact on the applicants ability to study"
what is the role of admissions and access regarding international qualifications at the university of stirling?,"admissions and access assess international qualifications and make decisions on appropriate international equivalencies based on information provided by the uk enic"
what is the requirement regarding english language proficiency for applicants at the university of stirling?,"applicants whose first language is not english must provide evidence of their english language skills in reading, writing, listening, and speaking. specific requirements are listed on each course page on the university website"
what is the university's policy on fee status determination for applicants?,"the university determines fee status according to nationality and residency information provided in the application. offers may be withdrawn if fee status changes"
how does the university of stirling handle feedback appeals and complaints related to admissions decisions?,"the university of stirling provides feedback on unsuccessful applications upon request and considers appeals against admissions decisions only with significant additional information not previously available during the application process"
what is the university's approach to widening access for applicants from diverse backgrounds?,"the university of stirling uses contextual admissions alongside the ucas application process to assess applicants from various backgrounds. it considers applicants from priority postcode areas, care-experienced students, adult learners, and other categories for minimum entry requirements"
