question,answer
how many students does the university of stirling have globally?,"the university of stirling has over 18,500 students globally."
how many undergraduate students are enrolled at the university of stirling?,"there are over 11,000 undergraduate students enrolled at the university of stirling."
how many postgraduate students are enrolled at the university of stirling?,"there are over 6,000 postgraduate students enrolled at the university of stirling."
how many staff members work at the university of stirling?,"the university of stirling has approximately 1,800 staff members."
what is the percentage of international students at the university of stirling?,more than 30% of students at the university of stirling are international.
what is the total number of nationalities represented on the university of stirling campus?,there are over 140 nationalities represented on the university of stirling campus.
what are some of the rankings achieved by the university of stirling according to the complete university guide 2023?,"according to the complete university guide 2023, the university of stirling ranks among the top 50 universities in the uk. in various subjects, it ranks highly in scotland and the uk, such as communication and media studies, economics, education, english, and more."
what is the guardian university guide ranking for the university of stirling in 2023?,"in the guardian university guide 2023, the university of stirling ranked 59th overall in the uk."
what are some of the rankings achieved by the university of stirling according to the qs world university rankings?,"in the qs world university rankings, the university of stirling is ranked in the top 500 global universities. additionally, it ranks well in various subjects such as sport, communications and media, education, and philosophy."
what are some of the highlights of the university of stirling's research according to the research excellence framework (ref) 2021?,"according to the ref 2021, 87% of the university's research has an outstanding or very considerable impact on society. more than 80% of stirling's research is world-leading or internationally excellent."
what are some of the rankings achieved by the university of stirling according to the times and sunday times good university guide?,"according to the times and sunday times good university guide, the university of stirling ranks in the top 40 uk universities. it excels in various subjects such as communication and media, criminology, economics, education, english, and more."
what are some of the rankings achieved by the university of stirling according to the national student survey?,"in the national student survey, the university of stirling ranks highly in various subjects such as biology, business studies, criminology, economics, english, geography, human resource management, journalism, nursing, philosophy, religion, social work, and more."
what are some of the rankings achieved by the university of stirling according to the postgraduate taught experience survey (ptes)?,"according to the postgraduate taught experience survey (ptes), the university of stirling ranks in the top 30 in the uk for overall postgraduate student experience, postgraduate student support, and postgraduate teaching."
what are some of the highlights of the university of stirling's graduate outcomes?,"the university of stirling boasts high percentages of graduates in positive destinations across various faculties, including arts and humanities, health sciences and sport, natural sciences, social sciences, and stirling management school."
what are some of the rankings achieved by the university of stirling according to the times higher education student experience survey?,"according to the times higher education student experience survey, the university of stirling ranks highly in various aspects such as campus environment, sports facilities, extra-curricular activities/societies, and more."
what is the sustainability ranking of the university of stirling?,the university of stirling is ranked 177th worldwide and 77th for europe for sustainability.
what are some of the affiliations of the university of stirling?,"the university of stirling is affiliated with organizations such as the quality assurance agency (qaa), athena swan, scottish credit and qualifications framework (scqf), and participates in the qe-tne scheme."
what are the key strengths of the university of stirling's research according to the research excellence framework (ref) 2021?,"key areas of research strength at the university of stirling include agriculture, veterinary and food science, geography and environmental studies, social work and social policy, allied health professions, dentistry, nursing, and pharmacy, among others."
what are some of the achievements of the university of stirling according to the graduate outcomes survey?,"the university of stirling has high percentages of graduates in positive destinations across various faculties, indicating successful outcomes for its graduates."
what is the reputation of the city of stirling where the university is located?,the city of stirling is recognized as the safest city in scotland and one of the top three happiest places to live in scotland.
