question,answer
what is an adviser of studies?,an adviser of studies is an academic member of staff who provides expert advice and guidance on academic matters and can offer information on support services within the university community
who has an adviser of studies?,"all taught students (undergraduate and postgraduate) have access to an adviser of studies. part-time, off-campus, and online students also have access, with contact appropriate to their study context"
how can i find out who my adviser of studies is?,details about current advisory teams can be found on the university website and by contacting your adviser directly
how can i contact my adviser of studies?,"you can contact your adviser of studies via email, telephone, or through the divisional office. contact details are available on the university website"
do i need to meet with my adviser of studies?,meeting with your adviser of studies is not mandatory unless you require academic advice. you can contact them by email or telephone as needed
what can my adviser of studies help me with?,"advisers of studies can assist with providing information for informed choices, advising on degree regulations and module selection, offering academic advice for career planning, approving module and program changes, assisting with academic problems, and referring to support services"
what can't my adviser of studies help me with?,"advisers of studies focus on resolving academic problems. for more general advice and support, students can contact their personal tutor"
what if my adviser of studies is absent or leaves the university?,"if your adviser is absent or leaves, their contact details will be updated. you can contact the senior adviser or faculty manager for assistance"
how can i report a problem with my adviser of studies?,"if you have a problem, contact the senior adviser or faculty manager. their contact details are available on the university website"
can i change my adviser of studies?,your adviser of studies is specific to your degree program. it would only change if you change your degree program
what if my adviser of studies was unable to help me?,"if your adviser was unable to help, you can seek support from other university staff members such as student programs, senior adviser, or the students’ union"
do distance learners have access to an adviser of studies?,"yes, all undergraduate and postgraduate students, including distance learners, have access to an adviser of studies"
do exchange students have access to an adviser of studies?,"yes, exchange students, whether undergraduate or postgraduate, have access to an adviser of studies"
is a record kept of meetings with the adviser of studies?,your adviser may indicate if they've taken notes during a meeting. a copy of the guidelines will be available in mid-september but any queries can be sent to sacsadmin@stir.ac.uk
can my adviser of studies provide me with a reference?,"yes, you can request your adviser to be a referee for you"
are meetings with my adviser of studies confidential?,"meetings are generally confidential, but there are exceptions such as disclosure of illegal activity or potential harm to the student or others, in which case confidentiality may be breached"
